OBJECTID,Cartegraph_ID,Street_Name,From_Street,To_Street,Street_Type,Location_Description,Ownership,Speed_Limit,Surface_Type,Surface_Width,Measured_ADT,PCI,Number_of_Lanes,Install_Date,Subdivision,Council_District,Map_Grid,CompKey,Mile_Length,Foot_Length,created_date,FISCAL_YR,LANE_MI,last_edited_date,SHAPESTLength
1,8651-001,GUM BRIDGE CT,GUM BRIDGE RD,PRIVATE PROPERTY,Local,8651-001 GUM BRIDGE CT From GUM BRIDGE RD To PRIVATE PROPERTY,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,12,0,,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,L17,767658,0.39746364,2098.61,2024/08/21 21:27:27+00,2025,0.4,2024/09/09 18:16:58+00,798.437490395574
2,8638-001,GARRETT DR,S DEAD END,MARKET ST,Local,8638-001 GARRETT DR From S DEAD END To MARKET ST,CITY MAINTAINED NOT VDOT FUNDED,25,ASPHALT,18,0,,2,2023/05/17 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,0,0.07339418,387.52,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,148.023744573169
3,8637-002,MARGATE PARKING LANE SOUTH ,MARGATE AV,E DEAD END,Local,8637-002 MARGATE PARKING LANE SOUTH FROM MARGATE AV TO E DEAD END,CITY MAINTAINED NOT VDOT FUNDED,25,ASPHALT,28,0,,2,2023/05/10 04:00:00+00,HAMPTON SQUARE,District 4,C06,0,0.02368933,125.08,2024/08/21 21:27:27+00,2025,0.06,2024/09/09 18:16:58+00,47.6320108282047
4,8637-001,MARGATE PARKING LANE NORTH ,MARGATE AV,MARGATE AV,Local,8637-001 MARGATE PARKING LANE NORTH FROM MARGATE AV TO MARGATE AV,CITY MAINTAINED NOT VDOT FUNDED,25,ASPHALT,28,0,,2,2023/05/10 04:00:00+00,HAMPTON SQUARE,District 4,C06,0,0.05356292,282.81,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,107.822480108719
5,6430-001A,ELSON GREEN AV (EB),BEGIN MEDIAN,PRINCESS ANNE RD (SB),Local,6430-001A ELSON GREEN AV (EB) FROM BEGIN MEDIAN TO PRINCESS ANNE RD (SB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,,2,2022/01/01 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,K12,0,0.04064952,214.63,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,81.5778117765035
6,0388-012A,ELSON GREEN AV,PRINCESS ANNE RD (SB),END MEDIAN,Local,"0388-012A ELSON GREEN AV ; FROM PRINCESS ANNE RD (SB) TO END MEDIAN",CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,,2,2022/01/01 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,K12,0,0.04112015,217.11,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,82.5791633659252
7,8085-001,TRESSLE VIEW PL,GUM AV S,W CUL-DE-SAC,Local,8085-001 TRESSLE VIEW PL From GUM AV S To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,84,2,2010/01/01 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,1728119,0.08562074,452.08,2024/08/21 21:27:27+00,2025,0.23,2024/09/09 18:16:58+00,172.024996754968
8,1845-005,CONSTITUTION DR,GENOA DR,START CONSTITUTION DR BRIDGE,Collector,1845-005 CONSTITUTION DR From GENOA DR To START CONSTITUTION DR BRIDGE,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,67,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,1875251,0.11517136,608.1,2024/08/21 21:27:27+00,2025,0.31,2024/09/09 18:16:58+00,231.61087985914
9,6738-002,COMMERCE ST,MARKET ST,CENTRAL PARK AV,Local,6738-002 COMMERCE ST From MARKET ST To CENTRAL PARK AV,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,40,0,82,4,2007/11/01 04:00:00+00,TOWN CENTER,District 4,E07,1824860,0.05336213,281.75,2024/08/21 21:27:27+00,2025,0.18,2024/09/09 18:16:58+00,107.18055037459
10,6739-002,BANK ST,MARKET ST,CENTRAL PARK AV,Local,6739-002 BANK ST From MARKET ST To CENTRAL PARK AV,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,83,3,2007/11/01 04:00:00+00,TOWN CENTER,District 4,E07,1824859,0.05315308,280.65,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,106.76183850665
