X,Y,OBJECTID,Cartegraph_ID,Cartegraph_Type,Year_Built,Ownership,X_Coordinate,Y_Coordinate,Comment,Field_Survey,Point_Confidence,File_Number,Watershed,Subdivision,Council_District,Map_Grid,INST_DATE,Rim_Elevation,East_Invert,West_Invert,North_Invert,South_Invert,STREET,PROP_GPIN,created_date,Conflict_in_structure,Pavement_Segment_ID,Stormpipe_Network_ID,Flushing_Maint_Year,CCTV_Maint_Year,last_edited_date
-8468064.5497,4426965.2268,1,30200-A12,STORMWATER MANHOLE,,PRIVATELY OWNED,12193294.1233851,3500966.99779031, ,,PLANS, ,Broad Bay,NO ASSOCIATED SUBDIVISION,District 8,H02,,10.5,5.94999981,0,5.94999981,5.75,SHORE DR (WB),15903142003403,,,0107-023,,,,
-8467968.2491,4426959.1558,2,30200-A28,STORMWATER MANHOLE,,PRIVATELY OWNED,12193547.362708,3500957.63790089, ,,PLANS, ,Broad Bay,NO ASSOCIATED SUBDIVISION,District 8,H02,,10.10000038,5.75,0,6,0,MARINERS MARK WY,15903142003403,,,P466-001,,,,
-8467915.9791,4426913.1318,3,30010-1516,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12193687.6934641,3500840.85795073, ,,PLANS, ,Broad Bay,NO ASSOCIATED SUBDIVISION,District 8,H02,,7.23000002,4.92999983,4.92999983,0,0,MARINERS MARK WY,15903142000403,,,P466-001,,,,
-8459662.8569,4426862.2629,4,NB918,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12215359.1087826,3501274.58641398, ,,PLANS, ,Oceanfront,NO ASSOCIATED SUBDIVISION,District 6,L02,,0,0,0,0,0,87TH ST,25105133950000,,,0823-001,,,,
-8459627.8409,4426720.5383,5,NB894,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12215460.8766236,3500906.53662515,NGVD72,,PLANS,L02-503,Oceanfront,NO ASSOCIATED SUBDIVISION,District 6,L02,,13.15999985,0,0,6.80999994,6.80999994,86TH ST,25105150550001,,,0822-001,,,,
-8459563.4738,4426734.267,6,NB898,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12215628.9153296,3500946.91318481,NGVD72,,PLANS,L02-503,Oceanfront,NO ASSOCIATED SUBDIVISION,District 6,L02,,12.65999985,0,7.9000001,7.9000001,7.9000001,86TH ST,25105161630000,,,0822-001,,,,
-8459600.7898,4426876.3951,7,KCI239,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12215521.0789311,3501315.85634457, ,,PLANS, ,Oceanfront,NO ASSOCIATED SUBDIVISION,District 6,L02,,0,0,0,0,0,87TH ST,25105152770000,,,0823-001,,,,
-8474998.1659,4415051.1446,8,04750-048,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12175872.0283081,3469340.9311213, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,,11.43999958,3.30999994,3.30999994,0,0,HOLLAND OFFICE PARK,14766915350000,,,P873-001,,,,
-8474962.2516,4415022.4995,9,04750-044,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12175968.3079711,3469268.3312009, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,,11.43999958,3.28999996,3.28999996,4.3499999,0,HOLLAND OFFICE PARK,14766915350000,,,P873-001,,,,
-8475007.7432,4415059.0125,10,04750-050,STORMWATER MANHOLE,,VIRGINIA BEACH PUBLIC WORKS,12175846.3383988,3469360.89105514, ,,PLANS, ,Thalia Creek,NO ASSOCIATED SUBDIVISION,District 3,E08,,11.28999996,3.31999993,3.31999993,3.31999993,0,HOLLAND OFFICE PARK,14766915350000,,,P873-001,,,,
