OBJECTID,GlobalID,Zoning,Conditional,Reference,Overlays,Supplemental,last_edited_date,SHAPESTArea,SHAPESTLength
1,97FE3E51-49FD-45A6-88F2-D9E0310F4F73,P1,,,,,2024-04-15 18:59:18+00:00,9097.4693915,445.505697213328
2,9DFEF3CA-7DE5-4208-A1B0-507472E00141,P1,,,,,2024-04-15 18:59:18+00:00,35801.663469305,725.098250371796
3,ED26ED89-92B8-4DD0-9CD4-6B8DC8C11C50,P1,,,,,2024-04-15 18:59:18+00:00,83179.829675415,1342.36195732627
4,85BDB455-9F19-4A5D-9C14-014F214DAE6F,P1,,,,,2024-04-15 18:59:18+00:00,259540.56983702,2448.90058287012
5,FA901D4A-2820-4120-8F14-441B5988A3F8,P1,,,,,2024-04-15 18:59:18+00:00,56004.712675855,1087.41201232741
6,7DFB1600-88E6-4FFF-9034-AAD80F25D977,P1,,,,,2024-04-15 18:59:18+00:00,398396.03311025,3269.02372133403
7,08D06456-7C52-4245-BC93-1476D2AF9672,AG2,,,,,2024-04-15 18:59:18+00:00,54176.56566021,1691.13892165536
8,A2A70D8D-1559-4489-97CD-46529BC30C37,B4,,,,,2024-04-15 18:59:18+00:00,4094.31493131,371.409940123809
9,AC28DD4F-B0F7-4F05-AC1C-31312F0F3F5A,AG2,,,,,2024-04-15 18:59:18+00:00,18347.66812749,659.462201357705
10,2D1A9487-7CBF-42CA-8888-E6457DD37E9D,PDH1,,,,,2024-04-15 18:59:18+00:00,260939.011014765,2289.25093384536
11,C0C0B0EE-4069-4B4E-86A2-994286D36403,P1,,,,,2024-04-15 18:59:18+00:00,204170.37833091,2882.14180641501
12,1D1B73A7-AACF-4C78-958A-D78A34EC2D4F,AG1,,,,,2024-04-15 18:59:18+00:00,1261519.33744949,6376.23052239926
13,EDB56EFD-BF86-4994-A948-157AF68EB055,P1,,,,Planned Unit Development District-2,2024-04-15 18:59:18+00:00,444.883354305,183.555206758851
14,6EE853E1-D06A-46B8-861C-B6FA74AC2D7C,P1,,,,Planned Unit Development District-2,2024-04-15 18:59:18+00:00,361.200335085,172.457552471994
15,F6D541F1-0998-461E-87D0-9D68E2FB140A,P1,,,,Planned Unit Development District-2,2024-04-15 18:59:18+00:00,1416.805798885,291.82017735482
16,310BE7F3-6383-4E14-A916-15041D9395FD,P1,,,,Planned Unit Development District-2,2024-04-15 18:59:18+00:00,649.333569255,196.795975664984
17,74A2CE89-B8BD-4166-96A3-6FA9A4E7E0E9,P1,,,,Planned Unit Development District-2,2024-04-15 18:59:18+00:00,2483.98815674,766.284828617231
18,2F87CFFB-E032-4DF1-8331-F9DF2BA0390A,P1,,,,Planned Unit Development District-2,2024-04-15 18:59:18+00:00,7650.295362,1633.5138740613
19,678EFFDB-5A55-45B8-A7FC-0DDCD244033D,P1,,,,Planned Unit Development District-2,2024-04-15 18:59:18+00:00,160.294982615,57.9698461202045
20,B3F63B93-5F6A-416B-B1C0-21C19696C472,P1,,,,Planned Unit Development District-2,2024-04-15 18:59:18+00:00,151.087753025,88.510307318328
21,62BE6439-317D-4C33-8F12-7B63BD4ACD49,P1,,,,Planned Unit Development District-2,2024-04-15 18:59:18+00:00,301.172394435,169.610249709151
