Year,Total withdrawals,Public supply,Self-supplied domestic,Livestock,Irrigation,Thermo-electic power,Self-supplied industrial,Mining,Commercial,Aquaculture,Self-supplied industrial 
1950,180,14,2.1,1.5,89,40,37,,,,37
1955,240,17,2.1,1.5,110,72,39,,,,39
1960,270,21,2,1.6,110,100,38,,,,38
1965,310,24,2.3,1.7,120,130,46,,,,46
1970,370,27,2.6,1.9,130,170,47,,,,47
1975,420,29,2.8,2.1,140,200,45,,,,45
1980,430,33,3.4,2.2,150,210,45,,,,45
1985,397,36.4,3.32,2.23,135,187,25.9,3.44,1.23,2.24,25.9
1990,404,38.8,3.39,2.25,134,194,22.6,4.93,2.39,2.25,22.6
1995,399,40.2,3.39,2.28,130,190,22.4,3.72,2.89,3.22,22.4
2000,413,43.2,3.58,2.38,139,195,19.7,4.5,,5.77,19.7
2005,410,44.2,3.83,2.14,128,201,18.2,4.02,,8.78,18.2
